id	sample_description	title	study_ref	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	filetype	library_nominal_length	library_nominal_sdev
25	366345_0031-LP1-16S-0122	Must-20-AUG-2022-gt48-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
26	366345_0030-LP1-16S-0123	Must-20-AUG-2022-gt48-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
27	366345_0029-LP1-16S-0124	Must-27-AUG-2022-gt110-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
28	366345_0028-LP1-16S-0125	Must-27-AUG-2022-gt147-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
29	366345_0027-LP1-16S-0126	Must-20-AUG-2022-gt64-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
30	366345_0026-LP1-16S-0127	Must-20-AUG-2022-gt5-Block2_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
31	366345_0025-LP1-16S-0128	Must-20-AUG-2022-gt120-Block1_mPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
32	366345_0024-LP1-16S-0129	DNA18-pos-1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
33	366345_0023-LP1-16S-0130	Must-20-AUG-2022-gt48-Block2_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
34	366345_0022-LP1-16S-0131	Must-20-AUG-2022-gt48-Block1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
35	366345_0021-LP1-16S-0132	Must-27-AUG-2022-gt110-Block1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
36	366345_0020-LP1-16S-0133	Must-27-AUG-2022-gt147-Block2_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
37	366345_0019-LP1-16S-0134	Must-20-AUG-2022-gt64-Block2_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
38	366345_0018-LP1-16S-0135	Must-20-AUG-2022-gt5-Block2_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
39	366345_0017-LP1-16S-0136	Must-20-AUG-2022-gt120-Block1_mPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
40	366345_0016-LP1-16S-0137	DNA18-pos-1_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
41	366345_0015-LP1-16S-0138	Must-20-AUG-2022-gt48-Block2_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
42	366345_0014-LP1-16S-0139	Must-20-AUG-2022-gt48-Block1_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
43	366345_0013-LP1-16S-0140	Must-27-AUG-2022-gt110-Block1_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
44	366345_0012-LP1-16S-0141	Must-27-AUG-2022-gt147-Block2_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
45	366345_0011-LP1-16S-0142	Must-20-AUG-2022-gt64-Block2_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
46	366345_0010-LP1-16S-0143	Must-20-AUG-2022-gt5-Block2_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
47	366345_0009-LP1-16S-0144	Must-20-AUG-2022-gt120-Block1_mPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
48	366345_0008-LP1-16S-0145	DNA18-pos-1_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
49	366345_0007-LP1-16S-0146	Must-20-AUG-2022-gt48-Block2_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
50	366345_0006-LP1-16S-0147	Must-20-AUG-2022-gt48-Block1_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
51	366345_0005-LP1-16S-0148	Must-27-AUG-2022-gt110-Block1_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
52	366345_0004-LP1-16S-0149	Must-27-AUG-2022-gt147-Block2_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
53	366345_0003-LP1-16S-0150	Must-20-AUG-2022-gt64-Block2_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
54	366345_0002-LP1-16S-0151	Must-20-AUG-2022-gt5-Block2_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
55	366345_0001-LP1-16S-0152	Must-20-AUG-2022-gt120-Block1_pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
56	366344_1000-LP1-16S-0153	DNA18-pos-1_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
57	366344_0999-LP1-16S-0154	Must-20-AUG-2022-gt48-Block2_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
58	366344_0998-LP1-16S-0155	Must-20-AUG-2022-gt48-Block1_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
59	366344_0997-LP1-16S-0156	Must-27-AUG-2022-gt110-Block1_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
60	366344_0996-LP1-16S-0157	Must-27-AUG-2022-gt147-Block2_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
61	366344_0995-LP1-16S-0158	Must-20-AUG-2022-gt64-Block2_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
62	366344_0994-LP1-16S-0159	Must-20-AUG-2022-gt5-Block2_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
